headline, published_at
"사티스그룹 보고서, “암호화폐 거래량, 내년에는 50% 오른다”",2018-09-25 23:04:00.000000
Seoul eyes law to promote blockchain industry,2018-09-25 23:06:00.000000
"서클, EOS∙스텔라∙0x∙Qtum 거래 목록 추가",2018-09-25 23:27:00.000000
"국제결제은행(BIS), “암호화폐, 금융시장 안정성 위협하지 않아”",2018-09-25 23:33:00.000000
"일 금융청, 해킹 피해 ‘자이프’에 사업 개선 명령",2018-09-25 23:51:00.000000
"(표) CME 비트코인 선물 시세 (뉴욕시간 25일 오전 11시16분 기준)…9월물, 225달러 내린 6385달러",2018-09-26 00:32:00.000000
"비트코인IRA 최고운영책임자, “내년 비트코인 가격, 4만 달러 될 수도”",2018-09-26 00:55:00.000000
"[뉴욕 코인시황/장중] 전반적으로 급락하며 하락세 이어가…비트코인, 6400선으로 내려서",2018-09-26 01:52:00.000000
"월마트, 식품 공급자에 블록체인 추적 시스템 도입 요구",2018-09-26 02:37:00.000000
"런던 시민 30%, 암호화폐 투자 계획 있다 – 설문조사",2018-09-26 04:06:00.000000
"[뉴욕 코인시황/마감] 급락하며 하락세 이어가…비트코인, 6400선도 하회",2018-09-26 05:18:00.000000
"마운트 곡스 법정관리인, 최종 비트코인/비트코인캐시 매각 규모 2억 3천만달러로 밝혀",2018-09-26 05:27:00.000000
"[굿모닝 비트코인] 0926 고래가 나타났다?! 주요 코인 하락세, 리플도 하락중",2018-09-26 07:34:00.000000
[뉴욕증시] 연준-NAFTA 협상 주시하며 혼조,2018-09-26 07:46:00.000000
[이 시각 코인] 글로벌 암호화폐 거래량 순위 (오전 7시 55분),2018-09-26 07:54:00.000000
[코인 국내외 주요일정 9월 26일],2018-09-26 08:00:00.000000
Telecom firms to start blockchain-based services,2018-09-26 09:29:00.000000
"Google, 암호화폐 거래소 관련 광고 미국과 일본에서 허용",2018-09-26 14:12:00.000000
"Coinbase 새로운 리스팅 프로세스 발표, 알트코인 활성화 기대감 ↑",2018-09-26 15:31:00.000000
"서울을 스마트 도시로…박원순 시장, 유럽 블록체인 도시순방",2018-09-26 19:54:00.000000
국회와 한국핀테크산업협회 주최 ‘국제 블록체인 정책 컨퍼런스’ 다가오는 10월 11일 진행,2018-09-26 20:16:00.000000
(표) 톱 10 코인 시세 (뉴욕시간 9월26일 오전 8시 기준),2018-09-26 21:01:00.000000
Seoul mayor to visit Crypto Valley in Switzerland,2018-09-26 21:10:00.000000
"맥아피 보고서, “올해 2분기 크립토재킹 86% 증가”",2018-09-26 21:43:00.000000
[뉴욕 코인시황/출발] 대부분 종목 상승 … 비트코인 6500 선 회복,2018-09-26 22:05:00.000000
"이더리움 공동창업자, “암호화폐는 진화한 돈의 결과물”",2018-09-26 22:26:00.000000
"일본 SBI, 모바일 결제 토큰 ‘S코인’ 출시 준비",2018-09-26 22:42:00.000000
"미국 하원의원 데이비슨, “암호화폐 투자 계획 있다”",2018-09-26 23:01:00.000000
JP모건 블록체인 지불 시스템 시험에 75개 은행 참여,2018-09-26 23:50:00.000000
"블록체인, 의료∙인권 등 다양한 분야서 광범위한 활용",2018-09-26 23:54:00.000000
(표) 알트코인 시세 차트 (뉴욕시각 11시5분),2018-09-27 00:07:00.000000
"(표) CME 비트코인 선물 시세 (뉴욕시간 26일 오전 11시6분 기준)…9월물, 150달러 오른 6505달러",2018-09-27 00:25:00.000000
"금융 분석가, “미국 제재 피하려는 북한, 암호화폐 사용 늘렸다”",2018-09-27 00:37:00.000000
"비트페이, BTC닷컴 공동 비트코인 지불 프로토콜 제공",2018-09-27 01:00:00.000000
신개념 암호화폐 ATM ‘신트라’ 출시,2018-09-27 01:35:00.000000
"[뉴욕 코인시황/장중] 하루만에 반등하며 오름세 보여…비트코인, 6500선 회복",2018-09-27 02:11:00.000000
"서클, 달러화 연계 스테이블코인 ‘USD코인’ 발행",2018-09-27 03:13:00.000000
Global conference on smart blockchain legislation due in October,2018-09-27 04:08:00.000000
"[뉴욕 코인시황/마감] 하루만에 반등…비트코인, 6500선 회복",2018-09-27 05:10:00.000000
[뉴욕증시] 연준 ‘완화적’ 문구 삭제에 널뛰기,2018-09-27 07:43:00.000000
"[굿모닝 비트코인] 0927 상위권 코인들 모두 반등세, 비트코인 캐시 17% 급등",2018-09-27 07:46:00.000000
[이 시각 코인] 글로벌 암호화폐 거래량 순위 (오전 7시 55분),2018-09-27 07:56:00.000000
[코인 국내외 주요일정 9월 27일],2018-09-27 08:05:00.000000
블록체인 규제 필요성 대두… 규제 명확해지지 않으면 블록체인 엑소더스 경험할 것,2018-09-27 10:30:00.000000
"기프토, 넴과 파트너십 체결… 확장성 높인다",2018-09-27 10:33:00.000000
"후오비 코리아, 글로벌 사업 확대 위해 후오비 글로벌 엘리트 모집",2018-09-27 11:35:00.000000
블록체인 기반 암호화 자산 중개·매매업 벤처기업서 제외,2018-09-27 13:17:00.000000
[블록페스타 2018] 정종기 펑키페이 대표 “복잡한 것을 쉽게 만드는 것이 블록체인”,2018-09-27 13:58:00.000000
[블록페스타 2018] 시나 치우 비센트 CMO “신뢰할 수 있고 쉽게 사용할 수 있는 암호화폐 거래 플랫폼 만들 것“,2018-09-27 14:03:00.000000
"[블록페스타 2018] 이원홍 블루웨일 CEO “Fair, Free, Safe의 가치로 공유경제의 세계화 실현할 것”",2018-09-27 14:15:00.000000
[블록페스타 2018] 존 오 디센트 한국지부 대표 “콘텐츠의 저작권을 완벽하게 생산자와 소비자에게 전달할 수 있는 것이 디센트의 가장 큰 장점”,2018-09-27 14:38:00.000000
"크라우드 펀딩 통한 ICO, 가능할까?",2018-09-27 16:26:00.000000
"블록체인 9개 업종, 벤처확인 가능… 암호화 자산 거래업은 제외",2018-09-27 17:37:00.000000
"Crytocurrency brokers, traders ineligible for startup incentives",2018-09-27 20:18:00.000000
(표) 톱 10 코인 시세 (뉴욕시간 9월27일 오전 8시 기준),2018-09-27 21:01:00.000000
Crowdy CEO plans ICO despite ban,2018-09-27 21:27:00.000000
"바이두, 블록체인 상용화 위한 ‘슈퍼체인’ 네트워크 백서 공개",2018-09-27 21:28:00.000000
[뉴욕 코인시황/출발] 혼조세로 출발 … 비트코인 6524달러,2018-09-27 22:01:00.000000
"시장 분석가 지딘스, “비트코인 6000달러 이하 하락은 시간문제”",2018-09-27 22:17:00.000000
"호주 국세청, 미납 세금 비트코인 납부 요구 사기 경고",2018-09-27 22:35:00.000000
"바이낸스 CEO, “스테이블코인이 민간화폐 유입 유도한다”",2018-09-27 22:55:00.000000
"트론, 비트토렌트와 플랫폼 통합 서비스 본격화",2018-09-27 23:34:00.000000
"팀 드레이퍼, “민간화폐 암호화폐로 전환하는 게 정부의 과제”",2018-09-27 23:39:00.000000
"태국 환전소 체인, 암호화폐 환전 사업 추진",2018-09-27 23:47:00.000000
(표) 알트코인 시세 차트 (뉴욕시각 11시5분),2018-09-28 00:07:00.000000
"(표) CME 비트코인 선물 시세 (뉴욕시간 27일 오전 11시7분 기준)…9월물, 5달러 오른 6490달러",2018-09-28 00:26:00.000000
"비트메인, 올해 2분기에 4억 달러 손해",2018-09-28 00:58:00.000000
"[뉴욕 코인시황/장중] 전일 반등세 접고 혼조세 보여…비트코인, 6500선 바로 위에서 횡보",2018-09-28 01:49:00.000000
오스트리아 정부 채권 경매 최초 블록체인 공증 실시,2018-09-28 02:26:00.000000
"스위스 스타트업, 1억 달러 유치해 ‘크립토 은행’ 만든다",2018-09-28 03:52:00.000000
"[뉴욕 코인시황/마감] 초반 혼조세에서 상승세로 돌아서…비트코인, 6500선 중반에서 횡보",2018-09-28 05:18:00.000000
"[굿모닝 비트코인] 0928 온기 이어가는 암호화폐 시장, 비트코인 선물도 ↑",2018-09-28 07:19:00.000000
[뉴욕증시] IT 섹터 모멘텀에 완만한 상승,2018-09-28 07:27:00.000000
[이 시각 코인] 글로벌 암호화폐 거래량 순위 (오전 7시 35분),2018-09-28 07:35:00.000000
[코인 국내외 주요일정 9월 28일],2018-09-28 07:41:00.000000
"중국 위안화 국제결제시스템 정착, 국제간 위안화 결제 급증",2018-09-28 07:43:00.000000
"전 UBS경영진, 규제된 암호화폐 은행 위해 1억 400만 달러 모금",2018-09-28 10:34:00.000000
"아이콘(ICON), aSSIST 경영전문대학원 석사과정 블록체인 과목으로 채택",2018-09-28 10:49:00.000000
Seoul MBA school to open blockchain class,2018-09-28 11:33:00.000000
[블록페스타 2018] 조재우 스팀잇 증인 “스팀잇은 진정한 존중을 위한 플랫폼”,2018-09-28 14:15:00.000000
[블록페스타 2018] 웨스 레빗 세타랩스 전략팀장 “비디오 스트리밍의 복잡성 없앨 것”,2018-09-28 14:43:00.000000
[블록페스타 2018] 르네 왕 콘텐트박스 CEO “콘텐츠와 관련한 모든 이들이 보상받을 수 있는 플랫폼 될 것”,2018-09-28 14:54:00.000000
"[블록페스타 2018] 서한석 직토 대표 “보험사와 서드파티, 이용자를 연결하는 고속도로 역할 할 것”",2018-09-28 15:21:00.000000
[블록페스타 2018] 양 홍 EOCH 수석 고문 “헬스케어 분야에서 보이는 문제는 빙산의 일각… 가려진 부분 해결 위해 노력할 것”,2018-09-28 15:29:00.000000
비트메인의 IPO에 대한 시선,2018-09-28 15:53:00.000000
[블록페스타 2018] 오스카 웨디 글로벌 운영 매니저 “AI를 스마트컨트랙트에 통합시키면 스마트컨트랙트가 더 스마트해 질 것”,2018-09-28 16:02:00.000000
"비트코인 6,750달러 돌파… 이더리움도 지속 상승",2018-09-28 16:52:00.000000
(표) 톱 10 코인 시세 (뉴욕시간 9월28일 오전 8시 기준),2018-09-28 21:00:00.000000
"월스트리트 출신 투자가 애리얼 링(Ariel Ling), 비트맥스(BitMax.io) 서울 밋업 참석",2018-09-28 21:14:00.000000
인도 최대 거래소 ‘젭페이’ 거래 서비스 중단,2018-09-28 21:31:00.000000
"바이낸스 공동창업자 허이, “싱가포르는 글로벌 금융의 중심”",2018-09-28 21:32:00.000000
[뉴욕 코인시황/출발] 상승세로 출발 … 비트코인 6618달러,2018-09-28 22:03:00.000000
"코인베이스, BTC 등 5개 코인 페키지 ‘코인베이스 번들’ 공개",2018-09-28 22:34:00.000000
"미 연방법원 판사, “암호화폐는 상품으로 보면 된다”",2018-09-28 22:51:00.000000
"몰타, 암호화폐 블록체인 규제법 11월부터 본격 시행",2018-09-28 23:09:00.000000
(표) 알트코인 시세 차트 (뉴욕시각 10시20분),2018-09-28 23:21:00.000000
"UN, 개발도상국 금융 시스템 블록체인 도입 지원",2018-09-28 23:40:00.000000
"(표) CME 비트코인 선물 시세 (뉴욕시간 28일 오전 10시59분 기준)…9월물, 5달러 내린 6650달러",2018-09-29 00:26:00.000000
"톰 리, “이더리움 가격 곧 대폭 상승 기대”",2018-09-29 00:55:00.000000
"[뉴욕 코인시황/장중] 대체로 상승세지만 변동폭은 크지 않아…비트코인, 6600 중반 선에서 횡보",2018-09-29 02:02:00.000000
"노보그라츠, “시장 바닥 맞아.. 더 하락하지 않을 것”",2018-09-29 02:48:00.000000
"암호화폐 금지된 중국, 여전히 시장이 활발한 이유는?",2018-09-29 03:45:00.000000
"[뉴욕 코인시황/마감] 초반 상승폭 반납하며 대체로 하락…비트코인, 6600 중반 선에서 횡보",2018-09-29 05:17:00.000000
"[굿모닝 비트코인] 0929 혼조세→하락세로 방향 전환, 비트코인 6600달러선 거래중",2018-09-29 07:18:00.000000
"[뉴욕증시] 박스권 혼조, 다우 월간 2% 상승",2018-09-29 08:13:00.000000
[이 시각 코인] 글로벌 암호화폐 거래량 순위 (오전 8시 20분),2018-09-29 08:19:00.000000
[코인 국내외 주요일정 9월 29일],2018-09-29 08:23:00.000000
"신생 암호화폐 거래소 규모, 런던증권거래소와 비슷…어떻게?",2018-09-29 08:26:00.000000
통화 급락 견딘 신흥국 이번에는 고유가에 ‘고통’,2018-09-29 15:55:00.000000
"고급 시계 메이커 Hublot, Bitcoin으로만 구매 가능한 한정판 출시",2018-09-29 18:42:00.000000
"쥬씨, 빗썸의 터치비와의 제휴로 무인결제 단말기 가맹점에 확대…”점주 부담 상쇄”",2018-09-29 19:20:00.000000
"일본 인터넷 서비스 업체 GMO, Zcash 채굴 소프트웨어 런칭",2018-09-29 20:33:00.000000
"중국 중산층의 10% 미만, 암호화폐 투자 중",2018-09-29 20:41:00.000000
"[굿모닝 비트코인] 0930 상위권 ‘혼조세’ 지속, 거래량은 회복중…리플 5% ↑",2018-09-30 07:25:00.000000
"[코인시황] 시장 전반 혼조세 중 이더리움 5%, 리플 7%대 상승",2018-09-30 08:13:00.000000
[이 시각 코인] 글로벌 암호화폐 거래량 순위 (오전 8시 25분),2018-09-30 08:24:00.000000
[코인 국내외 주요일정 9월 30일],2018-09-30 08:33:00.000000
"오스트리아 국제 경제 연구소, “블록체인 기술이 국외 거래의 불확실성 줄일 수 있다”",2018-09-30 14:17:00.000000
"중국 전자 상거래 대기업 JD.com, 블록체인과 AI 활용한 스마트 시티 연구소 개설",2018-09-30 14:45:00.000000
"미 의회 의원들, SEC 위원장에게 암호화폐 규제 명확성 촉구",2018-09-30 18:12:00.000000
"두바이 펀드, 홍콩 코인슈퍼 상장한 ‘MINDOL’ 공개매수..시총 20위 진입 목표",2018-10-01 07:20:00.000000
"[굿모닝 비트코인] 1001 암호화폐 시장은 ‘조용히 방향성 탐색 중’, 상위 100개 코인 중 50개 상승",2018-10-01 07:38:00.000000
"[코인시황] 시장 전반 하락세, BCH 2.56%, EOS 3.56%, Litecoin 1.89% 하락",2018-10-01 07:41:00.000000
[이 시각 코인] 글로벌 암호화폐 거래량 순위 (오전 7시 50분),2018-10-01 07:50:00.000000
[코인 국내외 주요일정 10월 1일],2018-10-01 08:00:00.000000
"바이낸스, DEX(탈중앙화 거래 플랫폼) 내년 런칭계획…",2018-10-01 10:19:00.000000
"블록체인 3.0..혁신 이끌 블록체인 프로젝트 Top4, 옵스가 떠오른다.",2018-10-01 10:30:00.000000
"나이지리아, 암호화폐 포스(POS) 출시로 아프리카 대륙 선도한다",2018-10-01 10:32:00.000000
"한화시스템, 글로벌 블록체인 단체 EEA 참여",2018-10-01 10:44:00.000000
"아이콘루프, 퍼블릭 블록체인 생태계 확장 위해 카카오·SK플래닛 출신 플랫폼 전문가 영입",2018-10-01 10:49:00.000000
South Korean firms adopting third-generation blockchain,2018-10-01 11:20:00.000000
Hanwha joins Enterprise Ethereum Alliance,2018-10-01 11:51:00.000000
ICON hires 2 platform professionals,2018-10-01 12:19:00.000000
"모네로, 암호화폐 채굴 악성프로그램 방지 위한 웹사이트 런칭",2018-10-01 14:26:00.000000
"스텔라, 수수료 없는 탈중앙화 암호화폐 거래 플랫폼 스텔라X 런칭",2018-10-01 16:16:00.000000
"[단독인터뷰]샘슨 모우 “비트메인 IPO,숫자뒤에 숨은 진실을 봐라..4500억원 손실”",2018-10-01 20:35:00.000000
(표) 톱 10 코인 시세 (뉴욕시간 10월1일 오전 8시 기준),2018-10-01 21:01:00.000000
‘비트코인 재벌’ 리 샤오라이 “ICO 참여 않을 것”,2018-10-01 21:33:00.000000
[뉴욕 코인시황/출발] 전반적인 하락세로 출발 … 비트코인 6000 중반 횡보 지속,2018-10-01 22:04:00.000000
벨기에는 핀테크 산업의 떠오르는 ‘허브’ – 포브스,2018-10-01 22:32:00.000000
"홍콩, 소매상 위한 실시간 즉시 결제 플랫폼 도입",2018-10-01 22:47:00.000000
"블록체인산업진흥협회, 제5차 블록체인리더스포럼 개최",2018-10-01 23:15:00.000000
"몰타 총리, “블록체인이 금융 산업의 미래”",2018-10-01 23:23:00.000000
"비트멕스 보고서, “ICO 어려움 ETH 가격 하락 때문 아냐”",2018-10-01 23:28:00.000000
"경제위기 베네수엘라, 수요증가로 비트코인 거래량 폭증",2018-10-01 23:53:00.000000
"영국 암호화폐 거래소, 파운드화 연동 스테이블코인 발행 준비",2018-10-02 00:14:00.000000
"(표) CME 비트코인 선물 시세 (뉴욕시간 1일 오전 11시4분 기준)…10월물, 140달러 내린 6530달러",2018-10-02 00:29:00.000000
(표) 알트코인 시세 차트 (뉴욕시각 11시45분),2018-10-02 00:45:00.000000
밀레니얼 세대 위한 암호화폐 인터넷방송 ‘블록체인 리포트’,2018-10-02 01:09:00.000000
"[뉴욕 코인시황/장중] 하락세로 10월 첫 거래일 출발…비트코인, 6500 중반에서 횡보",2018-10-02 02:04:00.000000
"성인물 사이트 폰허브의 암호화폐 지불 도입, 효과는 기대 이하",2018-10-02 02:38:00.000000
노보그라츠가 보는 대기업 암호화폐 시장 진출 선결 과제,2018-10-02 03:32:00.000000
"[뉴욕 코인시황/마감] 10월 첫 거래일 하락세…비트코인, 6500선 중반에서 횡보",2018-10-02 05:13:00.000000
[굿모닝 비트코인] 1002 코인별 혼조세에서 상승세로 방향 전환…리플은 송금시스템 공식화,2018-10-02 07:24:00.000000
[뉴욕증시] USMCA 무역 협상 타결에 반색,2018-10-02 07:54:00.000000
[이 시각 코인] 글로벌 암호화폐 거래량 순위 (오전 8시),2018-10-02 08:03:00.000000
[코인 국내외 주요일정 10월 2일],2018-10-02 08:07:00.000000
"한화시스템, 글로벌 블록체인 단체 ‘이더리움 기업 연합’ 가입…블록체인 사업 가동",2018-10-02 08:10:00.000000
"Lawmaker Min Byung-doo to outline future of artificial intelligence, blockchain",2018-10-02 09:09:00.000000
"마켓워치, ‘비트코인, 강세장 돌입까지 한 달 걸릴 것’",2018-10-02 10:02:00.000000
"리플, xRapid 상용화 시작",2018-10-02 10:07:00.000000
민병두 “ICO허용해 경쟁력 강화해야…”,2018-10-02 10:28:00.000000
Bitmain’s cash flow problem emerging: Samson Mow,2018-10-02 10:29:00.000000
Lawmaker proposes removing South Korea’s ban on ICO,2018-10-02 11:43:00.000000
Block TV to open next month,2018-10-02 12:20:00.000000
"밀레니얼 세대를 위한 블록체인 전문방송 블록TV, 내달 1일 정식 개국",2018-10-02 12:59:00.000000
"지닉스, 두 번째 펀드형 거래소 토큰 이달 중 발행",2018-10-02 13:21:00.000000
"비트고수, 암호화폐 시장 활성화 위해 밋업 개최",2018-10-02 14:34:00.000000
"한국투자파트너스, 블록체인 기업에 첫 투자",2018-10-02 14:41:00.000000
"진대제 前 장관 “블록체인, 부처간 혼선···불확실성 해소해야”",2018-10-02 14:55:00.000000
"하태경 의원, “홀대받는 블록체인, 초당적 협력으로 장려할 것”",2018-10-02 15:07:00.000000
"토큰박스의 TBX, 이더리움 지갑에서 이용 가능",2018-10-02 15:09:00.000000
"후오비 코리아, 매월 5일 ‘정보 보호의 날’로 지정",2018-10-02 15:51:00.000000
"한국블록체인협회의 ‘ICO클럽’, 초대 회장에 아이콘 이경준 의장",2018-10-02 17:37:00.000000
"암호화폐거래소 케이비코인, 10월 10일 베타 서비스 오픈",2018-10-02 17:54:00.000000
(표) 톱 10 코인 시세 (뉴욕시간 10월2일 오전 8시 기준),2018-10-02 21:00:00.000000
"모닝스타 리서치, “안전 투자처로서 비트코인이 금 대신하지는 못할 것”",2018-10-02 21:39:00.000000
[뉴욕 코인시황/출발] 전반적인 혼조세로 출발 … 비트코인 6586달러,2018-10-02 22:03:00.000000
"중국 최장수 과학전문지, 구독료 비트코인으로 받는다",2018-10-02 22:36:00.000000
"영국 재무장관, “브렉시트 후 무역 문제 블록체인 기술 도움”",2018-10-02 22:50:00.000000
"금융 분석 보고서, “비트코인 투자는 포트폴리오 구성에 필수 조건”",2018-10-02 22:56:00.000000
"블록체인 업계, 노벨상 수상자 영입 경쟁",2018-10-03 00:08:00.000000
리플-샌탠데르 결제 프로그램 통합이 미칠 영향 관심,2018-10-03 00:08:00.000000
"(표) CME 비트코인 선물 시세 (뉴욕시간 2일 오전 11시11분 기준)…10월물, 35달러 내린 6505달러",2018-10-03 00:32:00.000000
"CFTC 회장, “암호화폐 업계에 미래 있다”",2018-10-03 00:39:00.000000
"컴벌랜드 트레이딩 수석, “암호화폐 시장은 안정 찾는 중”",2018-10-03 00:55:00.000000
블록체인 대학 TOP 10 순위 – 코인데스크,2018-10-03 01:38:00.000000
"[뉴욕 코인시황/장중] 보합권내 혼조세…비트코인, 6500 중반대 횡보세 지속",2018-10-03 02:14:00.000000
"액센추어 보고서, “반도체 기업 86% 3년내 블록체인 채택 계획”",2018-10-03 03:13:00.000000
Blockchain producers establish ICO Club,2018-10-03 03:47:00.000000
"펀드스트랫 자문, “타격 입은 암호화폐 시장, 상승세 회복하려면 수 개월 걸린다”",2018-10-03 04:02:00.000000
Blockchain industry leader calls for creating sound ICO market,2018-10-03 04:16:00.000000
The government urged to stop cynical view on cryptocurrency,2018-10-03 04:43:00.000000
"밴처캐피털, 올해 블록체인과 크립토 자산 투자 전년대비 280%나 늘어 – 보고서",2018-10-03 04:50:00.000000
"[뉴욕 코인시황/마감] 소폭의 하락세 보여…비트코인, 6500 중반대 횡보세 지속",2018-10-03 05:15:00.000000
[굿모닝 비트코인] 1003 암호화폐 시장 횡보세…제자리 걸음 VS 안정을 위한 다지기,2018-10-03 07:26:00.000000
[뉴욕증시] ‘혼조’ 다우 최고치…기술주는 하락,2018-10-03 08:12:00.000000
[이 시각 코인] 글로벌 암호화폐 거래량 순위 (오전 8시 15분),2018-10-03 08:18:00.000000
[코인 국내외 주요일정 10월 3일],2018-10-03 08:22:00.000000
음지서 피해만 늘어난 암호화폐…김선동 “양성화 관리 시급”,2018-10-03 08:32:00.000000
(표) 톱 10 코인 시세 (뉴욕시간 10월3일 오전 8시 기준),2018-10-03 21:01:00.000000
"노보그라츠, “코인베이스 80억불 가치, 암호화폐는 거품 아냐”",2018-10-03 21:31:00.000000
[뉴욕 코인시황/출발] 하락세 지속하며 출발 … 비트코인 6500 선 아래로,2018-10-03 22:02:00.000000
"50,000 South Koreans become victims of fake cryptocurrency traders",2018-10-03 22:35:00.000000
"스페인 기술자, 콜라 자판기로 비트코인 지불 시스템 선보여 화제",2018-10-03 22:38:00.000000
"비트코인 가격 조작, 사람 아닌 ‘봇'(Bots)이 한다",2018-10-03 22:47:00.000000
"빌 클린턴, “첨단 기술 블록체인, 개발될수록 갈등 위험 커진다”",2018-10-03 23:02:00.000000
"서비스 중단한 젭페이 공동창업자, “여전히 비트코인 미래 낙관”",2018-10-03 23:32:00.000000
"바이낸스, 호주 스타트업과 세계 공항 POS 시스템 사업 추진",2018-10-03 23:32:00.000000
"뱅크오브아메리카, “미국 블록체인 시장 규모 70억달러 추산”",2018-10-03 23:55:00.000000
"(표) CME 비트코인 선물 시세 (뉴욕시간 3일 오전 11시16분 기준)…10월물, 45달러 내린 6465달러",2018-10-04 00:31:00.000000
"엘리먼트그룹, “비트코인 시장이 지루해졌다”",2018-10-04 01:05:00.000000
"[뉴욕 코인시황/장중] 소폭 이지만 하락세 이어가…비트코인, 횡보세 속 6500 초반대로 밀려",2018-10-04 01:53:00.000000
"암호화폐 분석가, “지금 비트코인 가격은 고평가돼 있어”",2018-10-04 02:54:00.000000
"비트코인, ‘만성적 수요 부족’에 현 수준에서 하락 가능 – 시장분석가",2018-10-04 04:07:00.000000
"[뉴욕 코인시황/마감] 하락세 지속…비트코인, 6500선 밑으로 하락",2018-10-04 05:07:00.000000
[굿모닝 비트코인] 1004 거래량 ‘부진’ 속 상위 코인 동반 하락세,2018-10-04 07:02:00.000000
"[뉴욕증시] 금리 급등, 다우 또 최고치",2018-10-04 07:28:00.000000
[이 시각 코인] 글로벌 암호화폐 거래량 순위 (오전 7시 35분),2018-10-04 07:37:00.000000
[코인 국내외 주요일정 10월 4일],2018-10-04 07:41:00.000000
JP모건의 블록체인 집중은 디지털 전환 로드맵의 일부…,2018-10-04 10:31:00.000000
"바이낸스, 호주 스타트업 트래블바이비트에 250만 달러 투자 ‘전세계 주요 공항 암호화폐 결제 도입’",2018-10-04 10:33:00.000000
"우크라이나, 암호화폐 소유자·채굴자를 위한 10년 비과세 법안 발의",2018-10-04 10:48:00.000000
"KT, 블록체인으로 투명한 P2P 기부 플랫폼 활성화 한다",2018-10-04 11:29:00.000000
"서울시, 블록체인 선도하겠다… 스위스 블록체인 강대도시 취리히와 ‘우호도시협약’ 체결",2018-10-04 11:44:00.000000
"서울시, 블록체인도 특별시 될까… 선도 도시 위해 1200억 투자… 마포·개포가 대상",2018-10-04 14:44:00.000000
"블록체인 에너지 플랫폼 ‘에너지마인’, 전기 스쿠터 구매 시 에너지토큰 보상으로 지급…탄소 배출 절감 앞장선다",2018-10-04 15:14:00.000000
"‘돈의 미래를 엿보다’, 인사이드 핀테크 2018 개최",2018-10-04 16:57:00.000000
Mayor Park wants to make Seoul hub of blockchain innovation,2018-10-04 20:19:00.000000
(표) 톱 10 코인 시세 (뉴욕시간 10월4일 오전 8시 기준),2018-10-04 21:01:00.000000
KT to develop blockchain-based donation management software,2018-10-04 21:03:00.000000
‘포트나이트’ 게임 가장해 코인 노리는 악성코드 주의보,2018-10-04 21:28:00.000000
Conference to feature when finance meets blockchain,2018-10-04 21:28:00.000000
[뉴욕 코인시황/출발] 상승세로 출발 … 비트코인 6572달러,2018-10-04 22:01:00.000000
"프랑스 명문 프로축구팀 PSG, 구단 자체 암호화폐 발행",2018-10-04 22:19:00.000000
"리포트링커, “2025년 미 제조업 블록체인 가치 5억불 넘을 전망”",2018-10-04 22:38:00.000000
"IMF 보고서, “암호화폐가 금융 시스템 위협할 수 있다”",2018-10-04 22:54:00.000000
"프랑스 정보기관 요원, 국가기밀 팔아 비트코인 챙겨",2018-10-04 22:58:00.000000
"물가 치솟은 아르헨티나, 비트코인ATM 1500대 설치한다",2018-10-04 23:16:00.000000
"일 SBI홀딩스, 리플 블록체인 결제 앱 ‘머니 탭’ 서비스 개시",2018-10-04 23:50:00.000000
(표) 알트코인 시세 차트 (뉴욕시각 11시12분),2018-10-05 00:12:00.000000
"(표) CME 비트코인 선물 시세 (뉴욕시간 4일 오전 11시8분 기준)…10월물, 105달러 오른 6530달러",2018-10-05 00:26:00.000000
"지불 서비스 전문가 75%, “디지털 자산 사용 희망” – 리플 설문조사",2018-10-05 01:32:00.000000
"[뉴욕 코인시황/장중] 소폭 오르며 반등…비트코인, 6500선 회복",2018-10-05 02:01:00.000000
“정보가 돈”… 코인 이벤트 정보 제공 사이트들,2018-10-05 02:56:00.000000
"코인베이스 가입자수, 비트코인 공급량 넘었다",2018-10-05 04:00:00.000000
"(표) 톱10 코인 시세 (뉴욕시간 10월4일 오후 3시42분 기준)…주요 코인 상승세 견지, 비트코인은 6594달러",2018-10-05 04:47:00.000000
"[뉴욕 코인시황/마감] 상승세 견지하며 반등…비트코인, 6600선 바로 위에서 움직여",2018-10-05 05:26:00.000000
"월스트리트저널, 신문업계 최초로 암호화폐 발행한다",2018-10-05 05:42:00.000000
[뉴욕증시] 금리 상승에 ‘발목’ 블루칩-IT 급락,2018-10-05 05:43:00.000000
[코인 국내외 주요일정 10월 5일],2018-10-05 05:50:00.000000
[이 시각 코인] 글로벌 암호화폐 거래량 순위 (오전 6시),2018-10-05 05:58:00.000000
미국 금리 스프레드 ‘더 뜬다’ 다시 힘 받는 강달러,2018-10-05 06:02:00.000000
"[굿모닝 비트코인] 1005 미국 국채 수익률 상승 속 암호화폐 가격 상승, 비트코인 7000달러 돌파 가능할까",2018-10-05 06:30:00.000000
"블록체인 기업, 타임지 선정 50개의 혁신기업에 포함",2018-10-05 09:42:00.000000
"미국 증권거래위원회, 비트코인 ETF 또다시 연기…26일에 최종 결정",2018-10-05 10:27:00.000000
"중소기업중앙회, ‘블록체인은 혁신… ICO 통한 중소기업 육성해야’",2018-10-05 11:29:00.000000
"박원순 서울시장, 에스토니아 대통령과 만나 블록체인 활용 방안 모색",2018-10-05 14:16:00.000000
"매직마이크로, 몬순과 블록체인 사업 공동개발한다",2018-10-05 14:47:00.000000
